ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-08-14,6265.963554813434,-1282.2462311253184,14778.264969607759,6265.963554813434,6265.963554813434,397.30124351356096,397.30124351356096,397.30124351356096,405.3105644588207,405.3105644588207,405.3105644588207,-8.009320945259713,-8.009320945259713,-8.009320945259713,0.0,0.0,0.0,6663.264798326994
2016-08-15,6272.867257650521,-1023.113663408506,14899.575010692806,6272.867257650521,6272.867257650521,654.7549618251803,654.7549618251803,654.7549618251803,747.9107025021099,747.9107025021099,747.9107025021099,-93.15574067692968,-93.15574067692968,-93.15574067692968,0.0,0.0,0.0,6927.622219475702
2016-08-16,6279.77096048761,-2259.4396637507434,13747.548106666796,6279.77096048761,6279.77096048761,-469.20624089562546,-469.20624089562546,-469.20624089562546,-281.65448081367305,-281.65448081367305,-281.65448081367305,-187.55176008195244,-187.55176008195244,-187.55176008195244,0.0,0.0,0.0,5810.564719591985
2016-08-17,6286.6746634913525,-2928.597222679268,13283.310945900053,6286.6746634913525,6286.6746634913525,-1143.2619247313369,-1143.2619247313369,-1143.2619247313369,-854.35328508047,-854.35328508047,-854.35328508047,-288.908639650867,-288.908639650867,-288.908639650867,0.0,0.0,0.0,5143.412738760016
2016-08-18,6293.578366495094,-1501.9253715487866,13886.385713828891,6293.578366495094,6293.578366495094,-337.72850679767043,-337.72850679767043,-337.72850679767043,57.021136585918015,57.021136585918015,57.021136585918015,-394.7496433835884,-394.7496433835884,-394.7496433835884,0.0,0.0,0.0,5955.849859697424
2016-08-19,6300.4820694988375,-1584.8305631384335,13510.623156759075,6300.4820694988375,6300.4820694988375,-574.5136072027518,-574.5136072027518,-574.5136072027518,-72.04913558722386,-72.04913558722386,-72.04913558722386,-502.46447161552794,-502.46447161552794,-502.46447161552794,0.0,0.0,0.0,5725.968462296086
2016-08-20,6307.385772502578,-2826.3052573882596,13671.466283303975,6307.385772502578,6307.385772502578,-611.5532653101,-611.5532653101,-611.5532653101,-2.1855020666915794,-2.1855020666915794,-2.1855020666915794,-609.3677632434084,-609.3677632434084,-609.3677632434084,0.0,0.0,0.0,5695.832507192478
2016-08-21,6314.289475506322,-2652.2742610925047,14119.382623519305,6314.289475506322,6314.289475506322,-307.4497780486547,-307.4497780486547,-307.4497780486547,405.3105644587564,405.3105644587564,405.3105644587564,-712.7603425074112,-712.7603425074112,-712.7603425074112,0.0,0.0,0.0,6006.839697457667
2016-08-22,6321.193178510064,-1694.8064309830474,14382.552626223636,6321.193178510064,6321.193178510064,-62.081093245982316,-62.081093245982316,-62.081093245982316,747.9107025014774,747.9107025014774,747.9107025014774,-809.9917957474597,-809.9917957474597,-809.9917957474597,0.0,0.0,0.0,6259.1120852640815
2016-08-23,6328.096881513806,-3154.636217892365,12672.121750113283,6328.096881513806,6328.096881513806,-1180.1773883167982,-1180.1773883167982,-1180.1773883167982,-281.65448081200583,-281.65448081200583,-281.65448081200583,-898.5229075047923,-898.5229075047923,-898.5229075047923,0.0,0.0,0.0,5147.919493197008
2016-08-25,6341.90428752129,-2600.720127789869,13578.769912020083,6341.90428752129,6341.90428752129,-983.223817940169,-983.223817940169,-983.223817940169,57.02113658650093,57.02113658650093,57.02113658650093,-1040.2449545266702,-1040.2449545266702,-1040.2449545266702,0.0,0.0,0.0,5358.680469581121
2016-08-26,6348.807990525033,-3046.303234764161,13469.080121558847,6348.807990525033,6348.807990525033,-1161.492867437805,-1161.492867437805,-1161.492867437805,-72.04913558744529,-72.04913558744529,-72.04913558744529,-1089.4437318503594,-1089.4437318503594,-1089.4437318503594,0.0,0.0,0.0,5187.315123087228
2016-08-27,6355.711693528775,-3315.3241684653035,13024.169037942716,6355.711693528775,6355.711693528775,-1124.2438281195368,-1124.2438281195368,-1124.2438281195368,-2.1855020666602147,-2.1855020666602147,-2.1855020666602147,-1122.0583260528765,-1122.0583260528765,-1122.0583260528765,0.0,0.0,0.0,5231.467865409239
2016-08-28,6362.6153965325175,-2316.2038316292847,13983.365973895483,6362.6153965325175,6362.6153965325175,-731.6241091058007,-731.6241091058007,-731.6241091058007,405.31056445876374,405.31056445876374,405.31056445876374,-1136.9346735645645,-1136.9346735645645,-1136.9346735645645,0.0,0.0,0.0,5630.991287426717
2016-08-29,6369.519099536259,-2382.9012125250115,13469.19876051673,6369.519099536259,6369.519099536259,-385.4105197737353,-385.4105197737353,-385.4105197737353,747.91070250297,747.91070250297,747.91070250297,-1133.3212222767054,-1133.3212222767054,-1133.3212222767054,0.0,0.0,0.0,5984.108579762524
2016-08-30,6376.422802540002,-3377.6423173494277,12927.602981044005,6376.422802540002,6376.422802540002,-1392.546514884599,-1392.546514884599,-1392.546514884599,-281.65448081361245,-281.65448081361245,-281.65448081361245,-1110.8920340709865,-1110.8920340709865,-1110.8920340709865,0.0,0.0,0.0,4983.876287655403
2016-08-31,6383.326505543743,-3736.29010952152,11971.672462169432,6383.326505543743,6383.326505543743,-1924.113504206526,-1924.113504206526,-1924.113504206526,-854.3532850795376,-854.3532850795376,-854.3532850795376,-1069.7602191269882,-1069.7602191269882,-1069.7602191269882,0.0,0.0,0.0,4459.213001337217
2016-09-01,6390.230208547486,-2994.3483876403716,13521.508086734932,6390.230208547486,6390.230208547486,-953.4601247059595,-953.4601247059595,-953.4601247059595,57.021136586640836,57.021136586640836,57.021136586640836,-1010.4812612926005,-1010.4812612926005,-1010.4812612926005,0.0,0.0,0.0,5436.770083841526
2016-09-02,6397.133911551229,-2432.3033494726556,13336.27670416293,6397.133911551229,6397.133911551229,-1006.0951687464369,-1006.0951687464369,-1006.0951687464369,-72.0491355864298,-72.0491355864298,-72.0491355864298,-934.0460331600071,-934.0460331600071,-934.0460331600071,0.0,0.0,0.0,5391.0387428047925
2016-09-03,6404.037614554971,-2413.115750746533,13915.845245223938,6404.037614554971,6404.037614554971,-844.049048758538,-844.049048758538,-844.049048758538,-2.185502067008745,-2.185502067008745,-2.185502067008745,-841.8635466915292,-841.8635466915292,-841.8635466915292,0.0,0.0,0.0,5559.988565796433
2016-09-04,6410.941317558712,-1583.8438874846156,14521.610085624236,6410.941317558712,6410.941317558712,-330.4231697248049,-330.4231697248049,-330.4231697248049,405.31056445869956,405.31056445869956,405.31056445869956,-735.7337341835045,-735.7337341835045,-735.7337341835045,0.0,0.0,0.0,6080.518147833907
2016-09-05,6417.845020562455,-1736.755656667972,14585.200232722193,6417.845020562455,6417.845020562455,130.09990365541063,130.09990365541063,130.09990365541063,747.9107025023374,747.9107025023374,747.9107025023374,-617.8107988469268,-617.8107988469268,-617.8107988469268,0.0,0.0,0.0,6547.944924217865
2016-09-06,6424.7487235661965,-2876.4759271413345,13700.066379873006,6424.7487235661965,6424.7487235661965,-772.2123889864993,-772.2123889864993,-772.2123889864993,-281.654480815219,-281.654480815219,-281.654480815219,-490.5579081712803,-490.5579081712803,-490.5579081712803,0.0,0.0,0.0,5652.536334579698
2016-09-08,6438.556129573681,-1886.9220566880826,14016.159139791283,6438.556129573681,6438.556129573681,-162.11429449909343,-162.11429449909343,-162.11429449909343,57.02113658633928,57.02113658633928,57.02113658633928,-219.1354310854327,-219.1354310854327,-219.1354310854327,0.0,0.0,0.0,6276.441835074587
2016-09-09,6445.459832577424,-1723.4255954571454,13970.872262738278,6445.459832577424,6445.459832577424,-152.9783251216532,-152.9783251216532,-152.9783251216532,-72.04913558665122,-72.04913558665122,-72.04913558665122,-80.92918953500198,-80.92918953500198,-80.92918953500198,0.0,0.0,0.0,6292.481507455771
